Gene,importance
Glyma.09G196500,0.04606238325033153
Glyma.18G042300,0.03902305784270467
Glyma.12G208300,0.032501451444843246
Glyma.11G245400,0.03224079592019987
Glyma.18G137402,0.030575436481601992
Glyma.05G071800,0.021707724226851445
Glyma.11G223300,0.01522922158087898
Glyma.09G277800,0.013738654583820339
Glyma.16G188800,0.012720743078716082
Glyma.09G283100,0.011998026556562793
Glyma.18G144050,0.011505552408943442
Glyma.08G274600,0.011158292439338633
Glyma.16G029800,0.010961936352380386
Glyma.07G024600,0.009628380580297842
Glyma.05G040300,0.009542535700236719
Glyma.01G069750,0.009057872015302252
Glyma.12G062150,0.009039331036083207
Glyma.01G137100,0.008805064906546586
Glyma.12G123700,0.007982649106616009
Glyma.20G138900,0.007807171531997489
Glyma.17G205400,0.007202881513701672
Glyma.U043900,0.007091000562626177
Glyma.17G170750,0.0066698707483628114
Glyma.09G082601,0.006534641487998956
Glyma.17G171250,0.006499083005397862
Glyma.18G295500,0.006416568852243916
Glyma.09G252700,0.006313334516246138
Glyma.18G116350,0.00621590264937763
Glyma.13G363800,0.0061640509829868385
Glyma.08G230400,0.005743026132672426
Glyma.14G167000,0.005726839619168877
Glyma.07G048150,0.005447019953572374
Glyma.02G203500,0.005307944343304525
Glyma.05G229700,0.005264300669840463
Glyma.10G037100,0.004940683995785604
Glyma.04G111766,0.004909248071364022
Glyma.17G081500,0.0048419550392795295
Glyma.20G094100,0.004590274658693913
Glyma.14G037800,0.004465887828543342
Glyma.19G260200,0.00443951146231809
Glyma.11G252300,0.004359848210899332
Glyma.05G170100,0.0042809505947592925
Glyma.18G288900,0.004242024863012001
Glyma.17G154200,0.004160450553113793
Glyma.16G168900,0.004112693136685015
Glyma.16G182600,0.004080252600446923
Glyma.18G090600,0.003986468075432942
Glyma.09G162800,0.0039241572312799814
Glyma.13G231200,0.0038414479047583702
Glyma.03G073742,0.003806569233409283
Glyma.16G046450,0.0037632460068546423
Glyma.01G060450,0.0037391745438092824
Glyma.17G079850,0.0036785010298583777
Glyma.06G194700,0.0036586722048443333
Glyma.02G264050,0.003415145751205652
Glyma.05G244500,0.0033774852181444855
Glyma.14G133850,0.0033431053834796476
Glyma.07G220400,0.0033151983807144956
Glyma.10G061900,0.003217066379858304
Glyma.15G065502,0.0031827686573291654
Glyma.16G094250,0.0031667322514363945
Glyma.11G204400,0.003158316014525404
Glyma.02G145050,0.003152128981168431
Glyma.03G039509,0.0031333446247100243
Glyma.01G142000,0.003098515723785673
Glyma.07G109600,0.002985538560755752
Glyma.15G189600,0.002915177219395204
Glyma.13G174300,0.002830922340288487
Glyma.15G092100,0.0028180359058998625
Glyma.12G083100,0.0028021708727841254
Glyma.20G174450,0.0027803589378790528
Glyma.08G152250,0.0027710589981275544
Glyma.11G188700,0.002767806740513242
Glyma.08G079000,0.0027478430703982795
Glyma.09G130550,0.0027321166009645448
Glyma.10G295550,0.0027261509180684755
Glyma.15G187800,0.0027170636169371663
Glyma.07G124800,0.0027044158020064577
Glyma.08G316300,0.0026837320094480277
Glyma.04G136150,0.0026769660735914504
Glyma.19G152800,0.002650634143946907
Glyma.01G045750,0.002649540276368838
Glyma.12G237433,0.0025729726107212867
Glyma.20G229300,0.0025560888489711974
Glyma.17G252500,0.0025293622062100905
Glyma.15G264400,0.0025002810976885942
Glyma.02G234150,0.002473647155221547
Glyma.03G161900,0.002465678793923732
Glyma.10G017000,0.002438583412431141
Glyma.06G038300,0.002428919863969606
Glyma.11G148300,0.002426743421193077
Glyma.08G278300,0.0023897918023249106
Glyma.07G056800,0.0023646353042748904
Glyma.05G216700,0.0023003535505707515
Glyma.03G160466,0.0022807626920678436
Glyma.U031308,0.0022636066206555183
Glyma.06G168050,0.0021853939397462876
Glyma.10G036600,0.0021796960798867635
Glyma.10G193800,0.0021733082552944554
Glyma.09G220500,0.0021694006448112514
Glyma.01G134600,0.0021519679734774036
Glyma.17G087700,0.0021508670253807594
