Gene,importance
Glyma.06G121600,0.0013102628363090025
Glyma.13G028200,0.0011869308430692142
Glyma.19G151200,0.0009421413378321997
Glyma.09G183400,0.0008857050492925478
Glyma.10G145000,0.000828349286219324
Glyma.03G147700,0.0008210741068075337
Glyma.09G049300,0.0008117476380548718
Glyma.20G136500,0.000808348008751271
Glyma.04G131100,0.0008036943692904609
Glyma.17G030400,0.0008033267011014974
Glyma.18G112800,0.0007935305785221707
Glyma.01G058600,0.0007839704982724685
Glyma.12G023100,0.0007278833662592349
Glyma.11G167900,0.0007173782740792006
Glyma.04G136500,0.0006731148088516003
Glyma.15G114600,0.0006656881182981678
Glyma.06G324400,0.0006590184441805462
Glyma.07G259900,0.0006586651645004116
Glyma.08G357600,0.0006572479208920303
Glyma.15G129200,0.0006495993410026788
Glyma.04G257100,0.0006255065873657034
Glyma.13G317000,0.0006190443894789183
Glyma.19G021001,0.0006180219901898433
Glyma.02G156500,0.0006036304570290825
Glyma.03G073780,0.0006003048616637323
Glyma.U031301,0.0005980068952393368
Glyma.11G062500,0.0005969864116764995
Glyma.08G324600,0.0005791624892940785
Glyma.02G222100,0.0005781346993121311
Glyma.18G105800,0.0005778832759977072
Glyma.19G227000,0.0005737672644313381
Glyma.19G151100,0.0005733508743606258
Glyma.17G182232,0.0005597762751361018
Glyma.14G084150,0.0005573625339113696
Glyma.09G040500,0.0005400273631347466
Glyma.06G272100,0.0005264359442285543
Glyma.03G154300,0.0005207445989746932
Glyma.18G063700,0.0005183365060651888
Glyma.18G177900,0.0005181783293720677
Glyma.17G171366,0.0005150071509651404
Glyma.13G211100,0.0005127745237116962
Glyma.09G040400,0.0005017794435057153
Glyma.18G097700,0.0004978883610644555
Glyma.12G054200,0.0004956610693260615
Glyma.19G231800,0.0004950920736004111
Glyma.19G227900,0.0004915772907369185
Glyma.16G195600,0.0004900177844855857
Glyma.19G236100,0.0004824816359945319
Glyma.20G219900,0.00048237029885050536
Glyma.07G061900,0.00047986737420990604
Glyma.03G143700,0.0004693676837745553
Glyma.13G262900,0.0004693614453934344
Glyma.08G277000,0.00046842577425301914
Glyma.02G264700,0.0004630116731576291
Glyma.14G052700,0.00045476539740082865
Glyma.09G108342,0.0004530130943021565
Glyma.04G241800,0.0004489157297173665
Glyma.06G130400,0.0004443411843490922
Glyma.20G013450,0.00043729310993194636
Glyma.13G079100,0.0004362073147918578
Glyma.20G029300,0.00043215786673801097
Glyma.08G120600,0.00043059809440668616
Glyma.07G243651,0.00042998069572218093
Glyma.20G029100,0.0004287609304986712
Glyma.14G089033,0.00042859488352512055
Glyma.17G172200,0.0004240469554173701
Glyma.18G176100,0.00042375768146960744
Glyma.05G198000,0.000423622561866635
Glyma.18G178900,0.0004221523140202099
Glyma.12G015300,0.00041980258763542355
Glyma.09G220100,0.00041965083821634023
Glyma.17G061550,0.0004188035972427582
Glyma.08G281450,0.00041645313798894227
Glyma.02G227400,0.0004155648478264297
Glyma.05G057600,0.00041425256192005816
Glyma.10G128600,0.000414159172397088
Glyma.15G128700,0.0004132387522971172
Glyma.19G073500,0.0004131361365634032
Glyma.15G163350,0.00041296910262712203
Glyma.19G066200,0.0004121354582190191
Glyma.09G243100,0.0004114929542887598
Glyma.10G107900,0.000411416259497492
Glyma.15G156100,0.00040700445288855856
Glyma.18G155300,0.0004059229381195109
Glyma.17G166600,0.0004047224835022202
Glyma.03G033750,0.0004012919747852308
Glyma.14G144400,0.00040088036799401183
Glyma.07G176700,0.00039738067291714596
Glyma.02G126900,0.0003971319444615204
Glyma.10G295200,0.00039255495144439266
Glyma.09G108370,0.0003923673246660674
Glyma.12G188900,0.000392112079358864
Glyma.12G156966,0.0003905417650947153
Glyma.13G285300,0.00039027883673527496
Glyma.02G263000,0.00039011680340206404
Glyma.02G281500,0.00038759316348288976
Glyma.20G242700,0.0003860153876982415
Glyma.15G012000,0.00038579153433523716
Glyma.11G062600,0.0003832903403242717
Glyma.01G177000,0.0003831790177878995
Glyma.11G153800,0.00038187251716332346
Glyma.17G244000,0.00038129765882031303
Glyma.10G211500,0.0003806474831525265
Glyma.14G191400,0.00038024889399780327
Glyma.08G150500,0.00037895205925588893
Glyma.19G146800,0.00037841301971069713
