stress	SRR20226844	SAMN29494563	SRX16260837	SRP386615	PRJNA855552	leaf	TMG06_0011	DS72_ACTTGA	Not applicable	V1	Inoculation using rust spore suspension and sampled at 72h post inoculation		Not applicable	Not applicable													Asian soybean rust																																																																																
stress	SRR20226845	SAMN29494562	SRX16260836	SRP386615	PRJNA855552	leaf	TMG06_0011	DS48_CAGATC	Not applicable	V1	Inoculation using rust spore suspension and sampled at 48h post inoculation		Not applicable	Not applicable													Asian soybean rust																																																																																
stress	SRR20226846	SAMN29494561	SRX16260835	SRP386615	PRJNA855552	leaf	TMG06_0011	DS24_GCCAAT	Not applicable	V1	Inoculation using rust spore suspension and sampled at 24h post inoculation		Not applicable	Not applicable													Asian soybean rust																																																																																
con	SRR20226847	SAMN29494560	SRX16260834	SRP386615	PRJNA855552	leaf	TMG06_0011	Dscontrol_ACAGTG	Not applicable	V1	Mock treatment and sampled at 48h post inoculation		Not applicable	Not applicable													Asian soybean rust																																																																																
stress	SRR20226848	SAMN29494559	SRX16260833	SRP386615	PRJNA855552	leaf	PI594760B	B72_TGACCA	Not applicable	V1	Inoculation using rust spore suspension and sampled at 72h post inoculation		Not applicable	Not applicable													Asian soybean rust																																																																																
stress	SRR20226849	SAMN29494558	SRX16260832	SRP386615	PRJNA855552	leaf	PI594760B	B48_TTAGGC	Not applicable	V1	Inoculation using rust spore suspension and sampled at 48h post inoculation		Not applicable	Not applicable													Asian soybean rust																																																																																
stress	SRR20226850	SAMN29494557	SRX16260831	SRP386615	PRJNA855552	leaf	PI594760B	B24_CGATGT	Not applicable	V1	Inoculation using rust spore suspension and sampled at 24h post inoculation		Not applicable	Not applicable													Asian soybean rust																																																																																
con 	SRR20226851	SAMN29494556	SRX16260830	SRP386615	PRJNA855552	leaf	PI594760B	Bcontrol_ATCACG	Not applicable	V1	Mock treatment and sampled at 48h post inoculation		Not applicable	Not applicable													Asian soybean rust																																																																																
stress	SRR23368136	SAMN33196664	SRX19309160	SRP421436	PRJNA932570	radicles	P3	B9_L4_194A94	9 days of culture	germinating seed stage	6		Low temperature treatment of transgenic plants at 6 Celsius	not collected	not collected		Peanut, transgenic soybean, and WT seeds in the same growth state were selected. The seeds were disinfected with 70% (v/w) ethanol for 1 min and soaked in 5% (w/v) sodium hypochlorite solution for 15 min, after which the seeds were rinsed 5 to 6 times ...	replicate = biological replicate 1					not collected	not collected	not collected	not collected	not collected			not collected		6		not collected	not collected							not collected	not collected							not collected																																																									
stress	SRR23368137	SAMN33196663	SRX19309159	SRP421436	PRJNA932570	radicles	P3	B10_L4_195A95	9 days of culture	germinating seed stage	6		Low temperature treatment of transgenic plants at 6 Celsius	not collected	not collected		Peanut, transgenic soybean, and WT seeds in the same growth state were selected. The seeds were disinfected with 70% (v/w) ethanol for 1 min and soaked in 5% (w/v) sodium hypochlorite solution for 15 min, after which the seeds were rinsed 5 to 6 times ...	replicate = biological replicate 2					not collected	not collected	not collected	not collected	not collected			not collected		6		not collected	not collected							not collected	not collected							not collected																																																									
stress	SRR23368138	SAMN33196662	SRX19309158	SRP421436	PRJNA932570	radicles	P3	B11_L4_196A96	9 days of culture	germinating seed stage	6		Low temperature treatment of recipient plants at 6 Celsius	not collected	not collected		Peanut, transgenic soybean, and WT seeds in the same growth state were selected. The seeds were disinfected with 70% (v/w) ethanol for 1 min and soaked in 5% (w/v) sodium hypochlorite solution for 15 min, after which the seeds were rinsed 5 to 6 times ...	replicate = biological replicate 1					not collected	not collected	not collected	not collected	not collected			not collected		6		not collected	not collected							not collected	not collected							not collected																																																									
stress	SRR23368139	SAMN33196661	SRX19309157	SRP421436	PRJNA932570	radicles	P3	B12_L4_394X94	9 days of culture	germinating seed stage	6		Low temperature treatment of recipient plants at 6 Celsius	not collected	not collected		Peanut, transgenic soybean, and WT seeds in the same growth state were selected. The seeds were disinfected with 70% (v/w) ethanol for 1 min and soaked in 5% (w/v) sodium hypochlorite solution for 15 min, after which the seeds were rinsed 5 to 6 times ...	replicate = biological replicate 2					not collected	not collected	not collected	not collected	not collected			not collected		6		not collected	not collected							not collected	not collected							not collected																																																									
stress	SRR23370001	SAMN33199890	SRX19311037	SRP421451	PRJNA932613	roots	P3	Wild-W-rep1	35 days of culture	seedling stage	water 28d		Recipient soybean under water for 28d biological replicate 1	not collected	not collected		The saline-alkali solution with a pH value of 8.9 was prepared as follows; Every 1 L solution contained 2.925 g NaCl, 5.3 g Na2CO3, 37.8 g NaHCO3, and 63.9 g Na2SO4, in a 1: 1: 9: 9 ratio. The original solution was then diluted to 12.5 L and used for s...	biological replicate 1					not collected	not collected	not collected	not collected	not collected			not collected		25		not collected	not collected							not collected	not collected							not collected																																																									
stress	SRR23370011	SAMN33199882	SRX19311027	SRP421451	PRJNA932613	roots	P3	OE-S-rep2	35 days of culture	seedling stage	saline-alkali stress 28d		Soybean overexpression of the aldehyde dehydrogenase AhALDH3H1 from Arachis hypogaea under saline-alkali stress for 28d biological replicate 2	not collected	not collected		The saline-alkali solution with a pH value of 8.9 was prepared as follows; Every 1 L solution contained 2.925 g NaCl, 5.3 g Na2CO3, 37.8 g NaHCO3, and 63.9 g Na2SO4, in a 1: 1: 9: 9 ratio. The original solution was then diluted to 12.5 L and used for s...	biological replicate 2					not collected	not collected	not collected	not collected	not collected			not collected		25		not collected	not collected							not collected	not collected							not collected																																																									
stress	SRR23370012	SAMN33199881	SRX19311026	SRP421451	PRJNA932613	roots	P3	OE-S-rep1	35 days of culture	seedling stage	saline-alkali stress 28d		Soybean overexpression of the aldehyde dehydrogenase AhALDH3H1 from Arachis hypogaea under saline-alkali stress for 28d biological replicate 1	not collected	not collected		The saline-alkali solution with a pH value of 8.9 was prepared as follows; Every 1 L solution contained 2.925 g NaCl, 5.3 g Na2CO3, 37.8 g NaHCO3, and 63.9 g Na2SO4, in a 1: 1: 9: 9 ratio. The original solution was then diluted to 12.5 L and used for s...	biological replicate 1					not collected	not collected	not collected	not collected	not collected			not collected		25		not collected	not collected							not collected	not collected							not collected																																																									
stress	SRR21602936	SAMN30888707	SRX17604576	SRP396930	PRJNA879726	Hypocotyl	IPRO8372	10-3	12 hpi				CMES1059																																																																																														
stress	SRR21602937	SAMN30888707	SRX17604575	SRP396930	PRJNA879726	Hypocotyl	IPRO8372	10-2	12 hpi				CMES1059																																																																																														
stress	SRR21602938	SAMN30888707	SRX17604574	SRP396930	PRJNA879726	Hypocotyl	IPRO8372	10-1	12 hpi				CMES1059																																																																																														
